county,state,fips,zone,lat,lng,ne_lat,ne_lng,sw_lat,sw_lng
Anderson,KY,021005,Eastern Time (US & Canada),38.004,-84.9909,38.12966400000001,-84.796914,37.884301,-85.170215
Ballard,KY,021007,Central Time (US & Canada),37.0584,-88.9992,37.2301519,-88.816181,36.9157034,-89.182822
Barren,KY,021009,Central Time (US & Canada),36.9656,-85.9336,37.170046,-85.73922,36.722519,-86.176424
Bath,KY,021011,Eastern Time (US & Canada),38.1449,-83.7428,38.3027299,-83.4699538,37.992548,-83.980496
Bell,KY,021013,Eastern Time (US & Canada),36.7307,-83.674,36.955717,-83.459014,36.582581,-83.957352
Boone,KY,021015,Eastern Time (US & Canada),38.97,-84.7279,39.147458,-84.597934,38.7773,-84.89756600000001
Bourbon,KY,021017,Eastern Time (US & Canada),38.2068,-84.2171,38.371674,-83.969297,38.067014,-84.4426639
Boyd,KY,021019,Eastern Time (US & Canada),38.3596,-82.6877,38.5058079,-82.57179300000001,38.2347619,-82.817695
Boyle,KY,021021,Eastern Time (US & Canada),37.6244,-84.8667,37.717245,-84.6515979,37.532109,-85.0396559
Bracken,KY,021023,Eastern Time (US & Canada),38.6888,-84.0901,38.827418,-83.903955,38.549772,-84.2360499
Breathitt,KY,021025,Eastern Time (US & Canada),37.5216,-83.3241,37.6999439,-82.948376,37.330106,-83.580263
Breckinridge,KY,021027,Central Time (US & Canada),37.7732,-86.4293,38.045832,-86.1515589,37.5592718,-86.67826190000001
Bullitt,KY,021029,Eastern Time (US & Canada),37.97,-85.6959,38.118173,-85.42904990000001,37.8058369,-85.9380089
Butler,KY,021031,Central Time (US & Canada),37.2074,-86.6816,38.790715,-84.364614,38.78422,-84.380555
Caldwell,KY,021033,Central Time (US & Canada),37.1453,-87.8679,37.378896,-87.680081,36.95064,-88.096177
Calloway,KY,021035,Central Time (US & Canada),36.6211,-88.2723,36.7507449,-88.03936449999999,36.49722,-88.489284
Campbell,KY,021037,Eastern Time (US & Canada),38.9465,-84.3793,39.1217619,-84.231915,38.805667,-84.506106
Carlisle,KY,021039,Central Time (US & Canada),36.8532,-88.9709,38.3521889,-84.0054469,38.306039,-84.068541
Carroll,KY,021041,Eastern Time (US & Canada),38.6679,-85.1235,38.761581,-84.934253,38.580236,-85.3330919
Carter,KY,021043,Eastern Time (US & Canada),38.3181,-83.0495,38.5045689,-82.7716949,38.168281,-83.341392
Casey,KY,021045,Eastern Time (US & Canada),37.3223,-84.9283,37.551322,-84.7062469,37.102274,-85.1654049
Christian,KY,021047,Central Time (US & Canada),36.8941,-87.4904,37.159345,-87.2595001,36.6370949,-87.733509
Clark,KY,021049,Eastern Time (US & Canada),37.9709,-84.1475,38.1149349,-83.96626800000001,37.821762,-84.348974
Clay,KY,021051,Eastern Time (US & Canada),37.1598,-83.7146,37.484871,-87.8096829,37.469017,-87.831152
Clinton,KY,021053,Central Time (US & Canada),36.7275,-85.1361,36.676012,-88.9817899,36.652811,-89.0054629
Crittenden,KY,021055,Central Time (US & Canada),37.3527,-88.0972,38.803401,-84.5911929,38.746507,-84.632273
Cumberland,KY,021057,Central Time (US & Canada),36.7866,-85.3884,37.001531,-82.957239,36.95876,-83.02875
Daviess,KY,021059,Central Time (US & Canada),37.7318,-87.0873,37.930206,-86.8175579,37.560978,-87.4085499
Edmonson,KY,021061,Central Time (US & Canada),37.2087,-86.2385,37.338583,-86.0490619,37.05345,-86.469101
Elliott,KY,021063,Eastern Time (US & Canada),38.1179,-83.0976,38.2669299,-82.888511,37.99642,-83.270877
Estill,KY,021065,Eastern Time (US & Canada),37.6924,-83.9643,37.85286,-83.721739,37.5428889,-84.12697
